title,text
hurbhiaghelee,"Police brutality is the highest form of intimidation
What offence did they commit???
Give us answers!!!!

@UBACares @UBAFoundation @UBACares @TonyOElumelu @npf @davido @ViralTweets2020 @ENDSARS @HumansNigeria https://t.co/xxdTK0BmQB"
AlukoJoseph5,"Why is it taking a life long time for @MBuhari to sack  @DrIsaPantami who we have a strong proof that his activities is related to terrorism @cenbank @endsars protesters account were frozen with the excuse that it's related to terrorism, why is @DrIsaPantami account still active?"
omofuma_Elijah,"Even Desmond Elliot is quite , ,,, what is that woman's name again that look like jellof rice way red oil too much ,I men that woman that said they should stop social media during @endsars protest she is so quiet abi , https://t.co/RsVQ4N8LwM"
FelixOdohoedi,"When will CBN freeze the account of @DrIsaPantami  ? CBN was quick to freeze d account of @endsars pple including @SavvyRinu  etc. On the ground that some were using cryptocurrency to finance terrorism, now the financier and advocate of it is here. What is the CBN waiting for? https://t.co/r3vxrbkLdn"
adekzee1,"@Obiejazzyup @YeleSowore @MBuhari @EndSars @mbujari okay that is good one but the ESN should be well coordinated and work with SE states govt. so as to avoid self inflicting injuries. Islamizing Nigeria? It's not possible, please forget about that baseless assumption by some gullible."
AOkuntade,We should allow policemen who are victims of injustice from public to appear @EndSars tribunal to get justice and be compensated too  d tribunals are one sided affair. https://t.co/EfyFw1wYTY
KabiruGbadebo,"@MoyinoluwaVict4 @YeleSowore @MBuhari @EndSars @mbujari Mr Spokesman, okaree, this really shows your level of reasoning and cultured"
real_clemzy,"@zeal_a @EuginhoCortez @YarKafanchan They have been attacking ordinary citizens for a long time, backed by the government, the attacked @endsars protesters... It's the government that gave touts legitimacy."
RichMoses19,"@YeleSowore @MBuhari @EndSars @mbujari Huuum, big nonsense, countineuty of insecurity, joblessness, farmine, corruption, embezzlement, bandits kidnapping, etc. Ho LORD have mercy on us."
CosmasOmosun,"May it be known, may it be remembered that from 2015-2021 and still running, ""the major focus of the Nigerian government was on COWS"" AND NOT HER CITIZENS. @EndSars @Endbadgovernance @restructurenigeria"
BabaEnesi,"@YeleSowore @MBuhari @EndSars @mbujari In this same Nigeria some terrorists are rehabilitated and granted amnesty,in this same Nigeria,govt negotiate with bandits. Drama"
solaren40359301,"@YeleSowore @MBuhari @EndSars @mbujari Buhari should learn from what happened to late Chadian president who refuse to relinquish power and was killed by rebels.
Clueless Buhari should  resign now and let people with common sense and great ideas rule the country"
peeonuoha,"@babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari And he Pampers the herdsmen, or are they not a terrorist group too?"
_BigDaddy01,@Prince74143920 @YeleSowore @MBuhari @EndSars @mbujari just like your father.
tojelabi,@YeleSowore @MBuhari @EndSars @mbujari And you looking for power and money
Iyke43084776,"@YeleSowore @MBuhari @EndSars @mbujari Confirm terrorist, we should expect continuity of killing and hardship."
savageanolee15,@Nlechoppa1 Stay up forever real Geezer @Nlechoppa1 @Endsars #EndSARS #EndPoliceBrutalityinNigeria
